source,filename,file_size_bytes,read_success,error,dimensions,time_count,first_time,last_time,duplicate_time_count,lat_min,lat_max,lat_resolutions,lon_min,lon_max,lon_resolutions,forecast_hours,data_variables
CFSR,pgbh06.gdas.20001021-20001025.grb2.nc.gz,9864,True,,time=20;lat=11;lon=11,20,2000-10-21 06:00:00,2000-10-26,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20001026-20001031.grb2.nc.gz,11651,True,,time=24;lat=11;lon=11,24,2000-10-26 06:00:00,2000-11-01,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20001101-20001105.grb2.nc.gz,9614,True,,time=20;lat=11;lon=11,20,2000-11-01 06:00:00,2000-11-06,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20001106-20001110.grb2.nc.gz,9796,True,,time=20;lat=11;lon=11,20,2000-11-06 06:00:00,2000-11-11,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20001111-20001115.grb2.nc.gz,9773,True,,time=20;lat=11;lon=11,20,2000-11-11 06:00:00,2000-11-16,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20001116-20001120.grb2.nc.gz,9892,True,,time=20;lat=11;lon=11,20,2000-11-16 06:00:00,2000-11-21,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20001121-20001125.grb2.nc.gz,9740,True,,time=20;lat=11;lon=11,20,2000-11-21 06:00:00,2000-11-26,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20001126-20001130.grb2.nc.gz,9732,True,,time=20;lat=11;lon=11,20,2000-11-26 06:00:00,2000-12-01,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20001201-20001205.grb2.nc.gz,9765,True,,time=20;lat=11;lon=11,20,2000-12-01 06:00:00,2000-12-06,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20001206-20001210.grb2.nc.gz,9770,True,,time=20;lat=11;lon=11,20,2000-12-06 06:00:00,2000-12-11,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
