source,filename_pattern,duplicate_rows,unique_duplicate_timestamps,unique_files,first_duplicate_timestamp,last_duplicate_timestamp,median_file_size_bytes
CFSv2,pgbh06.gdas.20110126-20110131.grb2.nc.gz,24,24,1,2011-01-26 06:00:00,2011-02-01,5255.0
CFSv2,pgbh06.gdas.20110326-20110331.grb2.nc.gz,24,24,1,2011-03-26 06:00:00,2011-04-01,5169.0
CFSv2,ipvh06.gdas.20110101-20110105.grb2.nc.gz,20,20,1,2011-01-01 06:00:00,2011-01-06,6559.0
CFSv2,ipvh06.gdas.20110106-20110110.grb2.nc.gz,20,20,1,2011-01-06 06:00:00,2011-01-11,6646.0
CFSv2,ipvh06.gdas.20110111-20110115.grb2.nc.gz,20,20,1,2011-01-11 06:00:00,2011-01-16,6545.0
CFSv2,ipvh06.gdas.20110116-20110120.grb2.nc.gz,20,20,1,2011-01-16 06:00:00,2011-01-21,6616.0
CFSv2,ipvh06.gdas.20110121-20110125.grb2.nc.gz,20,20,1,2011-01-21 06:00:00,2011-01-26,6635.0
CFSv2,ipvh06.gdas.20110201-20110205.grb2.nc.gz,20,20,1,2011-02-01 06:00:00,2011-02-06,6627.0
CFSv2,ipvh06.gdas.20110206-20110210.grb2.nc.gz,20,20,1,2011-02-06 06:00:00,2011-02-11,6561.0
CFSv2,ipvh06.gdas.20110211-20110215.grb2.nc.gz,20,20,1,2011-02-11 06:00:00,2011-02-16,6541.0
CFSv2,ipvh06.gdas.20110216-20110220.grb2.nc.gz,20,20,1,2011-02-16 06:00:00,2011-02-21,6652.0
CFSv2,ipvh06.gdas.20110221-20110225.grb2.nc.gz,20,20,1,2011-02-21 06:00:00,2011-02-26,6597.0
CFSv2,ipvh06.gdas.20110301-20110305.grb2.nc.gz,20,20,1,2011-03-01 06:00:00,2011-03-06,6622.0
CFSv2,ipvh06.gdas.20110306-20110310.grb2.nc.gz,20,20,1,2011-03-06 06:00:00,2011-03-11,6619.0
CFSv2,ipvh06.gdas.20110311-20110315.grb2.nc.gz,20,20,1,2011-03-11 06:00:00,2011-03-16,6662.0
