week_start_date,calendar_year,calendar_month,iso_year,iso_week,country,adm1_name,adm2_name,case_definition,dengue_cases
2003-06-01,2003,6,2003,22,Peru,Loreto,Maynas,Probable and confirmed,14
2003-06-08,2003,6,2003,23,Peru,Loreto,Maynas,Probable and confirmed,17
2003-06-15,2003,6,2003,24,Peru,Loreto,Maynas,Probable and confirmed,8
2003-06-22,2003,6,2003,25,Peru,Loreto,Maynas,Probable and confirmed,13
2003-06-29,2003,6,2003,26,Peru,Loreto,Maynas,Probable and confirmed,8
2003-07-06,2003,7,2003,27,Peru,Loreto,Maynas,Probable and confirmed,16
2003-07-13,2003,7,2003,28,Peru,Loreto,Maynas,Probable and confirmed,17
2003-07-20,2003,7,2003,29,Peru,Loreto,Maynas,Probable and confirmed,10
2003-07-27,2003,7,2003,30,Peru,Loreto,Maynas,Probable and confirmed,3
2003-08-03,2003,8,2003,31,Peru,Loreto,Maynas,Probable and confirmed,7
2003-08-10,2003,8,2003,32,Peru,Loreto,Maynas,Probable and confirmed,6
2003-08-17,2003,8,2003,33,Peru,Loreto,Maynas,Probable and confirmed,8
2003-08-24,2003,8,2003,34,Peru,Loreto,Maynas,Probable and confirmed,7
2003-08-31,2003,8,2003,35,Peru,Loreto,Maynas,Probable and confirmed,10
2003-09-07,2003,9,2003,36,Peru,Loreto,Maynas,Probable and confirmed,8
2003-09-14,2003,9,2003,37,Peru,Loreto,Maynas,Probable and confirmed,13
2003-09-21,2003,9,2003,38,Peru,Loreto,Maynas,Probable and confirmed,9
2003-09-28,2003,9,2003,39,Peru,Loreto,Maynas,Probable and confirmed,8
2003-10-05,2003,10,2003,40,Peru,Loreto,Maynas,Probable and confirmed,7
2003-10-12,2003,10,2003,41,Peru,Loreto,Maynas,Probable and confirmed,20
2003-10-19,2003,10,2003,42,Peru,Loreto,Maynas,Probable and confirmed,15
2003-10-26,2003,10,2003,43,Peru,Loreto,Maynas,Probable and confirmed,15
2003-11-02,2003,11,2003,44,Peru,Loreto,Maynas,Probable and confirmed,9
2003-11-09,2003,11,2003,45,Peru,Loreto,Maynas,Probable and confirmed,18
2003-11-16,2003,11,2003,46,Peru,Loreto,Maynas,Probable and confirmed,18
2003-11-23,2003,11,2003,47,Peru,Loreto,Maynas,Probable and confirmed,12
2003-11-30,2003,11,2003,48,Peru,Loreto,Maynas,Probable and confirmed,9
2003-12-07,2003,12,2003,49,Peru,Loreto,Maynas,Probable and confirmed,12
2003-12-14,2003,12,2003,50,Peru,Loreto,Maynas,Probable and confirmed,14
2003-12-21,2003,12,2003,51,Peru,Loreto,Maynas,Probable and confirmed,4
2003-12-28,2003,12,2003,52,Peru,Loreto,Maynas,Probable and confirmed,8
2004-01-04,2004,1,2004,1,Peru,Loreto,Maynas,Probable and confirmed,13
2004-01-11,2004,1,2004,2,Peru,Loreto,Maynas,Probable and confirmed,15
2004-01-18,2004,1,2004,3,Peru,Loreto,Maynas,Probable and confirmed,12
2004-01-25,2004,1,2004,4,Peru,Loreto,Maynas,Probable and confirmed,14
2004-02-01,2004,2,2004,5,Peru,Loreto,Maynas,Probable and confirmed,20
2004-02-08,2004,2,2004,6,Peru,Loreto,Maynas,Probable and confirmed,22
2004-02-15,2004,2,2004,7,Peru,Loreto,Maynas,Probable and confirmed,20
2004-02-22,2004,2,2004,8,Peru,Loreto,Maynas,Probable and confirmed,22
2004-02-29,2004,2,2004,9,Peru,Loreto,Maynas,Probable and confirmed,16
2004-03-07,2004,3,2004,10,Peru,Loreto,Maynas,Probable and confirmed,16
2004-03-14,2004,3,2004,11,Peru,Loreto,Maynas,Probable and confirmed,11
2004-03-21,2004,3,2004,12,Peru,Loreto,Maynas,Probable and confirmed,14
2004-03-28,2004,3,2004,13,Peru,Loreto,Maynas,Probable and confirmed,19
2004-04-04,2004,4,2004,14,Peru,Loreto,Maynas,Probable and confirmed,12
2004-04-11,2004,4,2004,15,Peru,Loreto,Maynas,Probable and confirmed,13
2004-04-18,2004,4,2004,16,Peru,Loreto,Maynas,Probable and confirmed,14
2004-04-25,2004,4,2004,17,Peru,Loreto,Maynas,Probable and confirmed,8
2004-05-02,2004,5,2004,18,Peru,Loreto,Maynas,Probable and confirmed,7
2004-05-09,2004,5,2004,19,Peru,Loreto,Maynas,Probable and confirmed,15
2004-05-16,2004,5,2004,20,Peru,Loreto,Maynas,Probable and confirmed,21
2004-05-23,2004,5,2004,21,Peru,Loreto,Maynas,Probable and confirmed,15
2004-05-30,2004,5,2004,22,Peru,Loreto,Maynas,Probable and confirmed,31
2004-06-06,2004,6,2004,23,Peru,Loreto,Maynas,Probable and confirmed,18
2004-06-13,2004,6,2004,24,Peru,Loreto,Maynas,Probable and confirmed,13
2004-06-20,2004,6,2004,25,Peru,Loreto,Maynas,Probable and confirmed,20
2004-06-27,2004,6,2004,26,Peru,Loreto,Maynas,Probable and confirmed,25
2004-07-04,2004,7,2004,27,Peru,Loreto,Maynas,Probable and confirmed,27
2004-07-11,2004,7,2004,28,Peru,Loreto,Maynas,Probable and confirmed,18
2004-07-18,2004,7,2004,29,Peru,Loreto,Maynas,Probable and confirmed,19
2004-07-25,2004,7,2004,30,Peru,Loreto,Maynas,Probable and confirmed,17
2004-08-01,2004,8,2004,31,Peru,Loreto,Maynas,Probable and confirmed,26
2004-08-08,2004,8,2004,32,Peru,Loreto,Maynas,Probable and confirmed,24
2004-08-15,2004,8,2004,33,Peru,Loreto,Maynas,Probable and confirmed,20
2004-08-22,2004,8,2004,34,Peru,Loreto,Maynas,Probable and confirmed,22
2004-08-29,2004,8,2004,35,Peru,Loreto,Maynas,Probable and confirmed,23
2004-09-05,2004,9,2004,36,Peru,Loreto,Maynas,Probable and confirmed,32
2004-09-12,2004,9,2004,37,Peru,Loreto,Maynas,Probable and confirmed,38
2004-09-19,2004,9,2004,38,Peru,Loreto,Maynas,Probable and confirmed,23
2004-09-26,2004,9,2004,39,Peru,Loreto,Maynas,Probable and confirmed,41
2004-10-03,2004,10,2004,40,Peru,Loreto,Maynas,Probable and confirmed,28
2004-10-10,2004,10,2004,41,Peru,Loreto,Maynas,Probable and confirmed,29
2004-10-17,2004,10,2004,42,Peru,Loreto,Maynas,Probable and confirmed,42
2004-10-24,2004,10,2004,43,Peru,Loreto,Maynas,Probable and confirmed,35
2004-10-31,2004,10,2004,44,Peru,Loreto,Maynas,Probable and confirmed,32
2004-11-07,2004,11,2004,45,Peru,Loreto,Maynas,Probable and confirmed,49
2004-11-14,2004,11,2004,46,Peru,Loreto,Maynas,Probable and confirmed,91
2004-11-21,2004,11,2004,47,Peru,Loreto,Maynas,Probable and confirmed,95
2004-11-28,2004,11,2004,48,Peru,Loreto,Maynas,Probable and confirmed,232
2004-12-05,2004,12,2004,49,Peru,Loreto,Maynas,Probable and confirmed,317
2004-12-12,2004,12,2004,50,Peru,Loreto,Maynas,Probable and confirmed,344
2004-12-19,2004,12,2004,51,Peru,Loreto,Maynas,Probable and confirmed,184
2004-12-26,2004,12,2004,52,Peru,Loreto,Maynas,Probable and confirmed,113
2005-01-02,2005,1,2004,53,Peru,Loreto,Maynas,Probable and confirmed,58
2005-01-09,2005,1,2005,1,Peru,Loreto,Maynas,Probable and confirmed,58
2005-01-16,2005,1,2005,2,Peru,Loreto,Maynas,Probable and confirmed,42
2005-01-23,2005,1,2005,3,Peru,Loreto,Maynas,Probable and confirmed,40
2005-01-30,2005,1,2005,4,Peru,Loreto,Maynas,Probable and confirmed,29
2005-02-06,2005,2,2005,5,Peru,Loreto,Maynas,Probable and confirmed,27
2005-02-13,2005,2,2005,6,Peru,Loreto,Maynas,Probable and confirmed,30
2005-02-20,2005,2,2005,7,Peru,Loreto,Maynas,Probable and confirmed,32
2005-02-27,2005,2,2005,8,Peru,Loreto,Maynas,Probable and confirmed,38
2005-03-06,2005,3,2005,9,Peru,Loreto,Maynas,Probable and confirmed,38
2005-03-13,2005,3,2005,10,Peru,Loreto,Maynas,Probable and confirmed,39
2005-03-20,2005,3,2005,11,Peru,Loreto,Maynas,Probable and confirmed,31
2005-03-27,2005,3,2005,12,Peru,Loreto,Maynas,Probable and confirmed,31
